source target probability
1 I X 1.00000000000078
2 P M 1.00000000000034
3 B M 1.00000000000034
4 I B 1.00000000000027
5 Y L 1.00000000000014
6 I L 1.00000000000014
7 I P 1.00000000000013
8 Y J 1.00000000000002
9 I W 0.999999999999959
10 Y U 0.999999999999809
11 I U 0.999999999999809
12 I D 0.999999999999794
13 I E 0.999999999999436
14 Z N 0.999999999999334
15 Y N 0.999999999999334
16 I N 0.999999999999334
17 S H 0.999999999999194
18 M H 0.999999999999194
19 I H 0.999999999999194
20 T S 0.999999999999102
21 M S 0.999999999999102
22 I S 0.999999999999102
23 X G 0.999999999998861
24 J G 0.999999999998861
25 I G 0.999999999998861
26 V A 0.999999999998851
27 S O 0.999999999997815
28 I O 0.999999999997815
29 Y M 0.999999890914638
30 I T 0.995049504951038
31 Y R 0.995049504950931
32 Y Q 0.995049504950244
33 Y K 0.99009900990095
34 Z F 0.960396039604022
35 Y F 0.950495049504976
36 Z I 0.891089108912896
37 Z C 0.777227722772054
38 Z V 0.762376237623661
39 Y V 0.742574257425633
40 Y C 0.702970297029741
41 B T 0.628712871287284
42 Z Y 0.628712871287055
43 W E 0.549504950494683
44 R K 0.54455445544577
45 L U 0.529702970296573
46 V C 0.514851485148233
47 C V 0.485148514851072
48 U L 0.470297029702907
49 K R 0.455445544554826
50 E W 0.450495049504956
51 Y Z 0.371287128712918
52 T B 0.371287128712808
53 C Y 0.297029702970381
54 V Y 0.257425742573922
55 V Z 0.237623762375965
56 C Z 0.222772277228041
57 I Z 0.108910891089436
58 F Y 0.0495049504950805
59 F Z 0.0396039603960666
60 K Y 0.00990099009899189
61 Q Y 0.00495049504952296
62 R Y 0.00495049504952183
63 T I 0.0049504950495072
64 Z M 1.09085710513526e-07
65 B P 6.5408537637873e-12
66 L B 4.13204820247053e-12
67 P B 3.06996726116218e-12
68 B W 3.82358256956859e-13
69 L J 3.54412485013464e-13
70 Z J 1.8860607367168e-13
71 W B 1.71631292196473e-13
72 I J 1.22015698006866e-13
73 J B 7.60038717657863e-14
74 Z B 5.38222121060625e-14
75 V B 2.36028805803628e-14
76 B E 6.76045385874949e-15
77 B D 5.38616327827069e-15
78 F J 4.50663818082508e-15
79 Y I 2.31467232677879e-15
80 E B 2.23522108376459e-15
81 I Y 9.18324015093943e-16
82 D B 8.34274921282374e-16
83 Z K 6.6460539971608e-16
84 Y B 5.95791386303486e-16
85 B Z 4.85918050929275e-16
86 D J 4.17994178430523e-16
87 P J 2.94602961711464e-16
88 K Z 2.80117100660351e-16
89 C B 2.51762444216388e-16
90 J P 1.83990990602685e-16
91 U J 1.55097848872037e-16
92 T P 4.6861976029938e-17
93 Z Q 4.49820237664601e-17
94 W J 4.18168927997422e-17
95 N J 3.90708129034626e-17
96 E J 3.70038136318683e-17
97 N B 3.68836812238552e-17
98 K B 3.35479891072526e-17
99 W A 2.63780941084077e-17
100 F I 2.54547956191783e-17
101 S J 2.31530839956843e-17
102 B J 1.91812849928208e-17
103 J X 1.89846352458304e-17
104 F B 1.81457230885145e-17
105 I A 1.66922652585405e-17
106 P T 1.65849449187073e-17
107 J A 1.36870433289893e-17
108 C J 1.33372881622829e-17
109 H J 9.7126503871922e-18
110 V J 5.86889027698316e-18
111 I F 4.95580091831167e-18
112 B X 3.98995542546055e-18
113 U B 3.82834186742684e-18
114 O J 3.13919211644117e-18
115 L X 3.0134356363582e-18
